Glucose (mM),Ammonium (mM),Growth rate (per hour) bootstrap 1,Growth rate (per hour) bootstrap 2,Growth rate (per hour) bootstrap 3,Growth rate (per hour) bootstrap 4,Growth rate (per hour) bootstrap 5,Growth rate (per hour) bootstrap 6,Growth rate (per hour) bootstrap 7,Growth rate (per hour) bootstrap 8,Growth rate (per hour) bootstrap 9,Growth rate (per hour) bootstrap 10,Growth rate (per hour) bootstrap 11,Growth rate (per hour) bootstrap 12,Growth rate (per hour) bootstrap 13,Growth rate (per hour) bootstrap 14,Growth rate (per hour) bootstrap 15,Growth rate (per hour) bootstrap 16,Growth rate (per hour) bootstrap 17,Growth rate (per hour) bootstrap 18,Growth rate (per hour) bootstrap 19,Growth rate (per hour) bootstrap 20,Growth rate (per hour) bootstrap 21,Growth rate (per hour) bootstrap 22,Growth rate (per hour) bootstrap 23,Growth rate (per hour) bootstrap 24,Growth rate (per hour) bootstrap 25,Growth rate (per hour) bootstrap 26,Growth rate (per hour) bootstrap 27,Growth rate (per hour) bootstrap 28,Growth rate (per hour) bootstrap 29,Growth rate (per hour) bootstrap 30,Growth rate (per hour) bootstrap 31,Growth rate (per hour) bootstrap 32,Growth rate (per hour) bootstrap 33,Growth rate (per hour) bootstrap 34,Growth rate (per hour) bootstrap 35,Growth rate (per hour) bootstrap 36,Growth rate (per hour) bootstrap 37,Growth rate (per hour) bootstrap 38,Growth rate (per hour) bootstrap 39,Growth rate (per hour) bootstrap 40,Growth rate (per hour) bootstrap 41,Growth rate (per hour) bootstrap 42,Growth rate (per hour) bootstrap 43,Growth rate (per hour) bootstrap 44,Growth rate (per hour) bootstrap 45,Growth rate (per hour) bootstrap 46,Growth rate (per hour) bootstrap 47,Growth rate (per hour) bootstrap 48,Growth rate (per hour) bootstrap 49,Growth rate (per hour) bootstrap 50,Growth rate (per hour) bootstrap 51,Growth rate (per hour) bootstrap 52,Growth rate (per hour) bootstrap 53,Growth rate (per hour) bootstrap 54,Growth rate (per hour) bootstrap 55,Growth rate (per hour) bootstrap 56,Growth rate (per hour) bootstrap 57,Growth rate (per hour) bootstrap 58,Growth rate (per hour) bootstrap 59,Growth rate (per hour) bootstrap 60,Growth rate (per hour) bootstrap 61,Growth rate (per hour) bootstrap 62,Growth rate (per hour) bootstrap 63,Growth rate (per hour) bootstrap 64,Growth rate (per hour) bootstrap 65,Growth rate (per hour) bootstrap 66,Growth rate (per hour) bootstrap 67,Growth rate (per hour) bootstrap 68,Growth rate (per hour) bootstrap 69,Growth rate (per hour) bootstrap 70,Growth rate (per hour) bootstrap 71,Growth rate (per hour) bootstrap 72,Growth rate (per hour) bootstrap 73,Growth rate (per hour) bootstrap 74,Growth rate (per hour) bootstrap 75,Growth rate (per hour) bootstrap 76,Growth rate (per hour) bootstrap 77,Growth rate (per hour) bootstrap 78,Growth rate (per hour) bootstrap 79,Growth rate (per hour) bootstrap 80,Growth rate (per hour) bootstrap 81,Growth rate (per hour) bootstrap 82,Growth rate (per hour) bootstrap 83,Growth rate (per hour) bootstrap 84,Growth rate (per hour) bootstrap 85,Growth rate (per hour) bootstrap 86,Growth rate (per hour) bootstrap 87,Growth rate (per hour) bootstrap 88,Growth rate (per hour) bootstrap 89,Growth rate (per hour) bootstrap 90,Growth rate (per hour) bootstrap 91,Growth rate (per hour) bootstrap 92,Growth rate (per hour) bootstrap 93,Growth rate (per hour) bootstrap 94,Growth rate (per hour) bootstrap 95,Growth rate (per hour) bootstrap 96,Growth rate (per hour) bootstrap 97,Growth rate (per hour) bootstrap 98,Growth rate (per hour) bootstrap 99,Growth rate (per hour) bootstrap 100
0.0,0.0,0.196699623613784,0.196699623613784,0.147595340601512,not fit,0.147595340601512,0.147595340601512,0.196699623613784,not fit,0.147595340601512,0.147595340601512,0.196699623613784,0.147595340601512,not fit,0.196699623613784,0.147595340601512,not fit,0.196699623613784,0.196699623613784,0.196699623613784,0.196699623613784,not fit,0.196699623613784,0.196699623613784,0.196699623613784,0.147595340601512,not fit,0.147595340601512,0.147595340601512,0.196699623613784,0.196699623613784,0.147595340601512,0.196699623613784,not fit,0.196699623613784,0.147595340601512,not fit,0.196699623613784,0.147595340601512,0.196699623613784,0.196699623613784,not fit,0.147595340601512,0.196699623613784,not fit,not fit,0.196699623613784,not fit,0.147595340601512,not fit,0.196699623613784,0.196699623613784,0.147595340601512,not fit,not fit,0.147595340601512,0.196699623613784,not fit,0.147595340601512,0.196699623613784,0.147595340601512,0.196699623613784,0.147595340601512,0.196699623613784,0.147595340601512,0.147595340601512,0.147595340601512,0.147595340601512,0.147595340601512,0.147595340601512,not fit,not fit,not fit,0.147595340601512,0.147595340601512,0.147595340601512,not fit,0.196699623613784,0.196699623613784,0.196699623613784,0.196699623613784,0.196699623613784,0.196699623613784,0.147595340601512,0.147595340601512,0.196699623613784,not fit,0.196699623613784,0.196699623613784,0.196699623613784,0.147595340601512,0.196699623613784,0.147595340601512,0.147595340601512,0.147595340601512,0.196699623613784,0.196699623613784,0.196699623613784,not fit,0.147595340601512,0.147595340601512
0.005,0.0,0.127766063653161,0.216941408190489,not fit,0.216941408190489,not fit,not fit,0.216941408190489,not fit,0.216941408190489,not fit,not fit,0.216941408190489,not fit,0.127766063653161,0.216941408190489,0.127766063653161,0.216941408190489,not fit,0.127766063653161,0.127766063653161,0.127766063653161,0.127766063653161,0.127766063653161,0.216941408190489,not fit,not fit,0.216941408190489,not fit,not fit,not fit,0.216941408190489,0.216941408190489,not fit,0.127766063653161,not fit,not fit,not fit,0.127766063653161,0.127766063653161,not fit,0.127766063653161,not fit,not fit,0.216941408190489,not fit,0.127766063653161,0.216941408190489,0.216941408190489,0.216941408190489,not fit,0.216941408190489,0.216941408190489,not fit,0.216941408190489,0.216941408190489,0.127766063653161,not fit,0.127766063653161,0.127766063653161,not fit,0.127766063653161,0.127766063653161,0.127766063653161,0.127766063653161,not fit,0.127766063653161,0.216941408190489,not fit,0.127766063653161,not fit,0.216941408190489,0.127766063653161,not fit,not fit,not fit,0.216941408190489,0.127766063653161,not fit,0.127766063653161,0.216941408190489,0.127766063653161,0.127766063653161,0.216941408190489,0.127766063653161,0.127766063653161,0.127766063653161,not fit,not fit,0.127766063653161,not fit,0.127766063653161,0.127766063653161,0.216941408190489,0.127766063653161,0.127766063653161,0.127766063653161,0.216941408190489,0.127766063653161,0.127766063653161,not fit
0.01,0.0,0.100516235299276,not fit,not fit,0.100516235299276,0.100516235299276,0.100516235299276,0.164662480337242,0.164662480337242,0.100516235299276,not fit,0.100516235299276,0.164662480337242,0.164662480337242,0.164662480337242,not fit,0.164662480337242,0.100516235299276,not fit,0.164662480337242,0.164662480337242,0.100516235299276,0.164662480337242,not fit,not fit,0.164662480337242,not fit,0.164662480337242,0.100516235299276,not fit,not fit,0.100516235299276,0.164662480337242,not fit,0.164662480337242,not fit,0.164662480337242,0.100516235299276,not fit,not fit,0.100516235299276,0.164662480337242,0.164662480337242,not fit,0.100516235299276,0.100516235299276,0.100516235299276,0.164662480337242,not fit,not fit,not fit,0.164662480337242,0.100516235299276,0.164662480337242,0.164662480337242,0.164662480337242,not fit,0.164662480337242,0.164662480337242,0.100516235299276,0.164662480337242,0.164662480337242,0.100516235299276,0.100516235299276,0.100516235299276,not fit,0.100516235299276,not fit,not fit,0.100516235299276,0.164662480337242,0.164662480337242,0.100516235299276,0.100516235299276,not fit,not fit,0.164662480337242,not fit,0.100516235299276,0.100516235299276,not fit,0.100516235299276,not fit,not fit,not fit,0.100516235299276,not fit,0.100516235299276,not fit,0.100516235299276,not fit,0.164662480337242,0.100516235299276,0.164662480337242,0.164662480337242,0.100516235299276,0.100516235299276,0.164662480337242,0.100516235299276,not fit,0.164662480337242
0.025,0.0,0.270165812372425,0.270165812372425,0.139561925349148,0.139561925349148,0.270165812372425,0.139561925349148,not fit,not fit,0.270165812372425,not fit,not fit,0.139561925349148,0.139561925349148,0.139561925349148,0.139561925349148,0.139561925349148,0.270165812372425,0.139561925349148,0.139561925349148,0.270165812372425,not fit,0.270165812372425,0.139561925349148,0.139561925349148,not fit,0.270165812372425,0.270165812372425,0.270165812372425,0.139561925349148,0.270165812372425,not fit,0.139561925349148,not fit,not fit,0.270165812372425,not fit,not fit,not fit,0.139561925349148,0.139561925349148,not fit,0.270165812372425,0.270165812372425,not fit,0.139561925349148,0.270165812372425,0.270165812372425,0.139561925349148,0.270165812372425,not fit,0.139561925349148,0.139561925349148,0.270165812372425,not fit,0.139561925349148,not fit,0.139561925349148,0.270165812372425,0.270165812372425,0.270165812372425,not fit,not fit,not fit,0.270165812372425,0.270165812372425,0.139561925349148,0.270165812372425,0.270165812372425,not fit,not fit,0.270165812372425,not fit,not fit,not fit,not fit,0.270165812372425,not fit,not fit,not fit,0.139561925349148,0.270165812372425,0.139561925349148,0.270165812372425,0.139561925349148,0.139561925349148,0.270165812372425,0.270165812372425,0.270165812372425,0.270165812372425,0.270165812372425,0.270165812372425,not fit,0.139561925349148,0.139561925349148,0.270165812372425,0.139561925349148,0.270165812372425,0.139561925349148,0.139561925349148,0.270165812372425
0.05,0.0,0.488886628107049,0.194533911864998,not fit,not fit,0.194533911864998,not fit,not fit,0.488886628107049,0.488886628107049,not fit,0.194533911864998,0.488886628107049,not fit,0.194533911864998,not fit,not fit,0.488886628107049,not fit,not fit,0.194533911864998,0.194533911864998,0.488886628107049,0.488886628107049,0.488886628107049,not fit,0.488886628107049,0.194533911864998,0.194533911864998,0.194533911864998,not fit,0.194533911864998,not fit,not fit,0.194533911864998,0.194533911864998,not fit,0.194533911864998,0.194533911864998,0.194533911864998,0.488886628107049,0.194533911864998,0.488886628107049,0.194533911864998,0.194533911864998,0.194533911864998,0.194533911864998,not fit,0.488886628107049,0.194533911864998,0.488886628107049,not fit,0.488886628107049,0.488886628107049,0.488886628107049,0.488886628107049,0.488886628107049,0.488886628107049,0.194533911864998,0.488886628107049,not fit,0.488886628107049,0.194533911864998,0.488886628107049,0.194533911864998,0.488886628107049,not fit,not fit,0.488886628107049,0.194533911864998,0.488886628107049,0.488886628107049,0.194533911864998,0.194533911864998,not fit,not fit,0.488886628107049,0.488886628107049,0.488886628107049,0.488886628107049,0.194533911864998,not fit,not fit,0.194533911864998,0.194533911864998,0.488886628107049,0.488886628107049,0.194533911864998,not fit,0.488886628107049,0.488886628107049,not fit,0.194533911864998,0.488886628107049,not fit,0.488886628107049,0.488886628107049,0.488886628107049,not fit,not fit,0.194533911864998
0.15,0.0,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit
0.25,0.0,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit
0.5,0.0,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit
1.0,0.0,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit
2.0,0.0,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit,not fit
0.0,0.01,0.274251716585413,0.274251716585413,0.274251716585413,0.274251716585413,0.259137181928763,0.294437833335321,0.294437833335321,0.274251716585413,0.259137181928763,0.259137181928763,0.294437833335321,0.259137181928763,0.259137181928763,0.294437833335321,0.274251716585413,0.294437833335321,0.274251716585413,0.259137181928763,0.259137181928763,0.294437833335321,0.274251716585413,0.274251716585413,0.274251716585413,0.294437833335321,0.294437833335321,0.274251716585413,0.259137181928763,0.274251716585413,0.274251716585413,0.274251716585413,0.274251716585413,0.259137181928763,0.294437833335321,0.274251716585413,0.294437833335321,0.294437833335321,0.274251716585413,0.294437833335321,0.294437833335321,0.294437833335321,0.274251716585413,0.259137181928763,0.259137181928763,0.294437833335321,0.274251716585413,0.274251716585413,0.294437833335321,0.294437833335321,0.294437833335321,0.274251716585413,0.259137181928763,0.274251716585413,0.259137181928763,0.274251716585413,0.274251716585413,0.259137181928763,0.294437833335321,0.274251716585413,0.294437833335321,0.294437833335321,0.274251716585413,0.274251716585413,0.274251716585413,0.259137181928763,0.274251716585413,0.274251716585413,0.294437833335321,0.274251716585413,0.259137181928763,0.274251716585413,0.274251716585413,0.294437833335321,0.259137181928763,0.259137181928763,0.259137181928763,0.259137181928763,0.274251716585413,0.294437833335321,0.274251716585413,0.294437833335321,0.294437833335321,0.274251716585413,0.259137181928763,0.294437833335321,0.274251716585413,0.259137181928763,0.274251716585413,0.259137181928763,0.259137181928763,0.294437833335321,0.294437833335321,0.259137181928763,0.294437833335321,0.294437833335321,0.259137181928763,0.259137181928763,0.259137181928763,0.294437833335321,0.259137181928763,0.274251716585413
